|Assets                         |Constants                  |Fonts   |Functions                             |Objects                  |Sounds                    |Sprites                        |Variables               |
|sprSuperPlasmaCannon           |                           |        |                                      |                         |                          |                               |                        |
|sprSuperShotgun                |                           |        |                                      |                         |                          |                               |                        |
|sprSuperSlugger                |                           |        |                                      |                         |                          |                               |                        |
|sprSweat                       |                           |        |                                      |                         |                          |                               |                        |
|sprSword                       |                           |        |                                      |                         |                          |                               |                        |
|sprTV                          |                           |        |                                      |                         |                          |                               |                        |
|sprTV1A                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV1B                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV1C                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV2A                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV2B                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV2C                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV3A                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV3B                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV3C                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV4A                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV4B                        |                           |        |                                      |                         |                          |                               |                        |
|sprTV4C                        |                           |        |                                      |                         |                          |                               |                        |
|sprTVPause                     |                           |        |                                      |                         |                          |                               |                        |
|sprTable1                      |                           |        |                                      |                         |                          |                               |                        |
|sprTable1Dead                  |                           |        |                                      |                         |                          |                               |                        |
|sprTable1Hurt                  |                           |        |                                      |                         |                          |                               |                        |
|sprTable2                      |                           |        |                                      |                         |                          |                               |                        |
|sprTable2Dead                  |                           |        |                                      |                         |                          |                               |                        |
|sprTable2Hurt                  |                           |        |                                      |                         |                          |                               |                        |
|sprTangle                      |                           |        |                                      |                         |                          |                               |                        |
|sprTangleB                     |                           |        |                                      |                         |                          |                               |                        |
|sprTangleKill                  |                           |        |                                      |                         |                          |                               |                        |
|sprTangleSeed                  |                           |        |                                      |                         |                          |                               |                        |
|sprTangleSeedB                 |                           |        |                                      |                         |                          |                               |                        |
|sprTargetDead                  |                           |        |                                      |                         |                          |                               |                        |
|sprTargetHurt                  |                           |        |                                      |                         |                          |                               |                        |
|sprTargetIdle                  |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancer                |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerActivate        |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerAppear          |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerDead            |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerDisappear       |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerEmpty           |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerFire1           |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerFire2           |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerHurt            |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerInactive        |                           |        |                                      |                         |                          |                               |                        |
|sprTechnoMancerLastDead        |                           |        |                                      |                         |                          |                               |                        |
|sprTemp                        |                           |        |                                      |                         |                          |                               |                        |
|sprTerminal                    |                           |        |                                      |                         |                          |                               |                        |
|sprTerminalDead                |                           |        |                                      |                         |                          |                               |                        |
|sprTerminalHurt                |                           |        |                                      |                         |                          |                               |                        |
|sprTextUnlocked                |                           |        |                                      |                         |                          |                               |                        |
|sprThrone2Bullet               |                           |        |                                      |                         |                          |                               |                        |
|sprThroneCorpseDead            |                           |        |                                      |                         |                          |                               |                        |
|sprThroneCorpseIdle            |                           |        |                                      |                         |                          |                               |                        |
|sprThroneFlameBig              |                           |        |                                      |                         |                          |                               |                        |
|sprThroneFlameEnd              |                           |        |                                      |                         |                          |                               |                        |
|sprThroneFlameIdle             |                           |        |                                      |                         |                          |                               |                        |
|sprThroneFlameStart            |                           |        |                                      |                         |                          |                               |                        |
|sprThroneStatue                |                           |        |                                      |                         |                          |                               |                        |
|sprThroneStatueDead            |                           |        |                                      |                         |                          |                               |                        |
|sprThrowHit                    |                           |        |                                      |                         |                          |                               |                        |
|sprTires                       |                           |        |                                      |                         |                          |                               |                        |
|sprTiresDead                   |                           |        |                                      |                         |                          |                               |                        |
|sprTiresHurt                   |                           |        |                                      |                         |                          |                               |                        |
|sprToggle                      |                           |        |                                      |                         |                          |                               |                        |
|sprTooltip                     |                           |        |                                      |                         |                          |                               |                        |
|sprTop                         |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalCave                |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalCity                |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalInvCave             |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalJungle              |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalPizzaSewers         |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalScrapyard           |                           |        |                                      |                         |                          |                               |                        |
|sprTopDecalSewers              |                           |        |                                      |                         |                          |                               |                        |
|sprTopPot                      |                           |        |                                      |                         |                          |                               |                        |
|sprTopSmall                    |                           |        |                                      |                         |                          |                               |                        |
|sprTorch                       |                           |        |                                      |                         |                          |                               |                        |
|sprTorchDead                   |                           |        |                                      |                         |                          |                               |                        |
|sprTorchHurt                   |                           |        |                                      |                         |                          |                               |                        |
|sprToxicBarrel                 |                           |        |                                      |                         |                          |                               |                        |
|sprToxicBarrelDead             |                           |        |                                      |                         |                          |                               |                        |
|sprToxicBarrelHurt             |                           |        |                                      |                         |                          |                               |                        |
|sprToxicBolt                   |                           |        |                                      |                         |                          |                               |                        |
|sprToxicBow                    |                           |        |                                      |                         |                          |                               |                        |
|sprToxicGas                    |                           |        |                                      |                         |                          |                               |                        |
|sprToxicGrenade                |                           |        |                                      |                         |                          |                               |                        |
|sprToxicNader                  |                           |        |                                      |                         |                          |                               |                        |
|sprToxicThrower                |                           |        |                                      |                         |                          |                               |                        |
|sprTrap                        |                           |        |                                      |                         |                          |                               |                        |
|sprTrapFire                    |                           |        |                                      |                         |                          |                               |                        |
|sprTrapGameover                |                           |        |                                      |                         |                          |                               |                        |
|sprTrapScorchMark              |                           |        |                                      |                         |                          |                               |                        |
|sprTripleMachinegun            |                           |        |                                      |                         |                          |                               |                        |
|sprTube                        |                           |        |                                      |                         |                          |                               |                        |
|sprTubeDead                    |                           |        |                                      |                         |                          |                               |                        |
|sprTubeHurt                    |                           |        |                                      |                         |                          |                               |                        |
|sprTurretAppear                |                           |        |                                      |                         |                          |                               |                        |
|sprTurretDead                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurretFire                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurretHurt                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurretIdle                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurtleDead                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurtleFire                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurtleHurt                  |                           |        |                                      |                         |                          |                               |                        |
|sprTurtleIdle                  |                           |        |                                      |                         |                          |                               |                        |
|sprTutSplat                    |                           |        |                                      |                         |                          |                               |                        |
|sprTutorialButton              |                           |        |                                      |                         |                          |                               |                        |
|sprTutorialSplinter            |                           |        |                                      |                         |                          |                               |                        |
|sprUltraBolt                   |                           |        |                                      |                         |                          |                               |                        |
|sprUltraBoltTrail              |                           |        |                                      |                         |                          |                               |                        |
|sprUltraBullet                 |                           |        |                                      |                         |                          |                               |                        |
|sprUltraBulletHit              |                           |        |                                      |                         |                          |                               |                        |
|sprUltraCrossbow               |                           |        |                                      |                         |                          |                               |                        |
|sprUltraGrenade                |                           |        |                                      |                         |                          |                               |                        |
|sprUltraGrenadeBlink           |                           |        |                                      |                         |                          |                               |                        |
|sprUltraLaserGun               |                           |        |                                      |                         |                          |                               |                        |
|sprUltraLevel                  |                           |        |                                      |                         |                          |                               |                        |
|sprUltraNader                  |                           |        |                                      |                         |                          |                               |                        |
|sprUltraRevolver               |                           |        |                                      |                         |                          |                               |                        |
|sprUltraShell                  |                           |        |                                      |                         |                          |                               |                        |
|sprUltraShellDisappear         |                           |        |                                      |                         |                          |                               |                        |
|sprUltraShotgun                |                           |        |                                      |                         |                          |                               |                        |
|sprUltraShovel                 |                           |        |                                      |                         |                          |                               |                        |
|sprUltraSlash                  |                           |        |                                      |                         |                          |                               |                        |
|sprUnlockAll                   |                           |        |                                      |                         |                          |                               |                        |
|sprUnlockContinue              |                           |        |                                      |                         |                          |                               |                        |
|sprUnlockPopupSplat            |                           |        |                                      |                         |                          |                               |                        |
|sprUpDown                      |                           |        |                                      |                         |                          |                               |                        |
|sprUpdateInfo                  |                           |        |                                      |                         |                          |                               |                        |
|sprVanDeactivate               |                           |        |                                      |                         |                          |                               |                        |
|sprVanDeactivated              |                           |        |                                      |                         |                          |                               |                        |
|sprVanDead                     |                           |        |                                      |                         |                          |                               |                        |
|sprVanDrive                    |                           |        |                                      |                         |                          |                               |                        |
|sprVanHurt                     |                           |        |                                      |                         |                          |                               |                        |
|sprVanOpen                     |                           |        |                                      |                         |                          |                               |                        |
|sprVanOpenIdle                 |                           |        |                                      |                         |                          |                               |                        |
|sprVanPortalCharge             |                           |        |                                      |                         |                          |                               |                        |
|sprVanPortalClose              |                           |        |                                      |                         |                          |                               |                        |
|sprVanPortalStart              |                           |        |                                      |                         |                          |                               |                        |
|sprVaultStatue                 |                           |        |                                      |                         |                          |                               |                        |
|sprVaultStatueDead             |                           |        |                                      |                         |                          |                               |                        |
|sprVaultStatueHurt             |                           |        |                                      |                         |                          |                               |                        |
|sprVenusCar                    |                           |        |                                      |                         |                          |                               |                        |
|sprVenusCarFix                 |                           |        |                                      |                         |                          |                               |                        |
|sprVenusCarFixed               |                           |        |                                      |                         |                          |                               |                        |
|sprVenusCarFixedHurt           |                           |        |                                      |                         |                          |                               |                        |
|sprVenusCarHurt                |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzCar2                   |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzCar2Hurt               |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzCarpet                 |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzCouch                  |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzMenu                   |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzMenuDeselect           |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzMenuSelect             |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzMenuSelected           |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzTV                     |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzTVDead                 |                           |        |                                      |                         |                          |                               |                        |
|sprVenuzTVHurt                 |                           |        |                                      |                         |                          |                               |                        |
|sprVitaBig                     |                           |        |                                      |                         |                          |                               |                        |
|sprVitaSmall                   |                           |        |                                      |                         |                          |                               |                        |
|sprVlambeer                    |                           |        |                                      |                         |                          |                               |                        |
|sprVoid                        |                           |        |                                      |                         |                          |                               |                        |
|sprWall0Bot                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall0Explo                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall0Out                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall0Top                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall0Trans                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall100Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall100Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall100Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall100Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall101Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall101Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall101Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall101Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall102Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall102Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall102Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall102Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall103Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall103Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall103Out2                 |                           |        |                                      |                         |                          |                               |                        |
|sprWall103Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall103Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall104Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall104Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall104Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall104Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall105Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall105Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall105Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall105Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall106Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall106Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall106Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall106Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall107Bot                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall107Out                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall107Top                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall107Trans                |                           |        |                                      |                         |                          |                               |                        |
|sprWall1Bot                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall1Out                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall1Top                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall1Trans                  |                           |        |                                      |                         |                          |                               |                        |
|sprWall2Bot                    |                           |        |                                      |                         |                          |                               |                        |
|sprWall2Out                    |                           |        |                                      |                         |                          |                               |                        |
